君道 第一
政体 第二
任贤 第三
求谏 第四
纳谏 第五
君臣鉴戒 第六
择官 第七
封建 第八
太子诸王定分 第九
尊敬师傅 第十
教戒太子诸王 第十一
规谏太子 第十二
仁义 第十三
忠义 第十四
孝友 第十五
公平 第十六
诚信 第十七
俭约 第十八
谦让 第十九
仁恻 第二十
慎所好 第二十一
慎言语 第二十二
杜谗邪 第二十三
悔过 第二十四
奢纵 第二十五
贪鄙 第二十六
崇儒学 第二十七
文史 第二十八
礼乐 第二十九
务农 第三十
刑法 第三十一
赦令 第三十二
贡赋 第三十三
辨兴亡 第三十四
征伐 第三十五
安边 第三十六
行幸 第三十七
畋猎 第三十八
灾祥 第三十九
慎终 第四十
